	OSCC cell	CAF	MSC	MAF	Mst	DC	EC	T.cell	Mac	B.cell	Myo	LNM
N0_55	0.649676033	0.155812121	0	0.01593489	0.00018805	0.00042486	0.026165756	0	0.01572877	3.94E-05	0.136030164	0
N0_56	0.869192618	0.039838292	0.00054735	0	2.37E-05	0	0	0.017521156	0.072522825	0	0.000354021	0
N0_57	0.932218129	0.030268734	0	0.001640474	0	0.00198658	0.000174888	0.0070365	0.026674696	0	0	0
N0_58	0.786157547	0.006066002	0.002511452	0.014300428	0	0.024701915	0.010061166	0.034989564	0.120946447	8.82E-05	0.000177275	0
N0_59	0.932450711	0.041866797	0	0.006072986	0.000108687	0.000376147	0.01673662	0.002388051	0	0	0	0
N0_60	0.981061001	0.003361537	0	0.004492798	0	0	0.000872636	0.004022893	0	0	0.006189134	0
N0_61	0.899868341	0.0722666	0	0	0.000484565	0	0.011861985	0.003191501	0.001240033	0	0.011086976	0
N0_62	0.759217328	0.08552043	0	0	0.000208839	0	0.011656792	0.02021771	0.071004748	0.004101	0.048073154	0
N0_63	0.898054704	0.018682614	2.80E-06	0	0	0.000463941	0.006306019	0.002314659	0.068496463	0	0.005678803	0
N0_64	0.963021585	0.006173675	0	0.001533217	2.54E-05	0	0.006614992	0.007531799	0.015092412	6.93E-06	0	0
N0_65	0.965893949	0.011147556	0	0.001177024	3.93E-05	0	0	0.004151992	0	0	0.01759016	0
N0_66	0.981050538	0.010778707	0	0.002566596	0	0	0.002098865	0.003505294	0	0	0	0
N0_67	0.946462248	0.023940593	0.00013149	0.003398864	0	0	0.005109259	0.006070763	0.013974915	6.98E-06	0.000904886	0
N0_68	0.826295193	0.031967701	0	0	0	0.00195626	0.011129432	0.000190518	0.009392905	0	0.11906799	0
N0_69	0.771053409	0.111081669	0	0	0	0.002099733	0.029612927	0.007158496	0.043984466	0	0.035009301	0
N0_70	0.843300928	0.048766062	0.003286997	0	0	0	0.008518365	0.001363308	0.093538364	0.000378525	0.000847451	0
N0_71	0.706492364	0.130361061	0	0	7.39E-05	0.001649849	0.023132624	0.008766547	0.127616027	0	0.001907636	0
N0_72	0.864988408	0.046766935	0	0	0	0	0.023767283	0.00481582	0.011916298	0	0.047745257	0
N0_73	0.800817495	0.108850553	0	0.004238143	0	0.000841572	0.026874725	0.00306646	0.015908966	0	0.039402087	0
N0_74	0.941825993	0.027022538	0	0.001794403	0	0.000206725	0.004070111	5.63E-05	0.024917692	0	0.000106248	0
N0_75	0.943699351	0.054715854	0	0	2.64E-05	0	0.000960868	0.000597553	0	0	0	0
N0_76	0.987613616	0.005415657	0	0.00130346	3.89E-05	0	0.000522863	0.002390541	0	9.76E-05	0.002617425	0
N0_77	0.952478573	0.042439707	0	0	3.87E-05	0	0.00213968	0.002861177	3.36E-05	8.47E-06	0	0
N0_78	0.942393511	0.024055863	0	0.004812622	0.000110099	0	0.004015786	0.004491769	0.00528662	0	0.014833729	0
N0_79	0.726737502	0.215614697	0	0.001925695	0	0	0.054963196	0	0	0	0.00075891	0
N0_80	0.888423849	0.019557738	0	0.002108635	0	0.002624943	0.015842786	0.013882342	0.057460416	7.84E-05	2.09E-05	0
N0_81	0.943169437	0.042527057	0.003003501	0.00173505	8.82E-06	0	0.003003895	0.004436539	0	0.002115703	0	0
N0_82	0.817388585	0.114537978	0	0.000251684	0	0	0.014398628	0.002936379	0.005851625	0.000278827	0.044356293	0
N0_83	0.81975036	0.107916068	0.000436285	0	6.76E-05	9.39E-05	0.013118222	0.000368024	0.05398879	0	0.004260806	0
N0_84	0.891051083	0.029991702	0	0	1.99E-05	0.009897858	0.016173911	0.008668024	0.044196419	1.08E-06	0	0
N0_85	0.89083742	0.079927384	0	0.027267468	7.96E-06	0	0.000435753	0.000549906	0	0	0.000974108	0
N0_86	0.832700552	0.071792363	0	0	0	0.006151781	0.012935929	0.014145358	0.058655768	0.00180389	0.001814359	0
LNM_1	0.938667546	0.040103971	0	0	0.000275094	0	0	0.005397023	0.015404536	0.00015183	0	1
LNM_2	0.942257038	0.020270663	0	0.001732098	5.88E-05	0	0.0092977	0.00375478	0.022250226	0.000378653	0	1
LNM_3	0.729093173	0.15601283	0	0.015115515	0	0.001759919	0.012171634	0	0.030744172	0	0.055102756	1
LNM_4	0.883248218	0.089213909	0	0	0.000189989	0	0.006974957	0.004285105	0.016087823	0	0	1
LNM_5	0.976671126	0.005710786	0.000174919	0.005882178	7.89E-05	0	0.003423899	0.005219335	0.002804402	2.71E-05	7.41E-06	1
LNM_6	0.985460914	0.002346027	0	0.007382017	8.55E-06	0	0.000227431	0.002457912	0	0	0.002117148	1
LNM_7	0.821408424	0.020267988	0	0.00074971	0.000113798	0	0.017065226	0.008589837	0.051586482	0.000521193	0.079697342	1
LNM_8	0.895110601	0.069304903	0	0	0.000177033	1.04E-05	0.008695438	0.004852185	0.008813512	0	0.013035935	1
LNM_9	0.987576873	0.007268145	0	0.003646859	9.57E-05	0	0.000999404	0.00039046	0	2.25E-05	0	1
LNM_10	0.820929073	0.141750124	0	0	0	0.00016836	0.015155958	0.002296538	0.019699947	0	0	1
LNM_11	0.956238098	0.015035012	0	0.011208475	3.15E-06	0	0.001694186	0.001039403	0	0	0.014781672	1
LNM_12	0.93251179	0.043983524	0	0.002657387	3.67E-05	0	0.00122985	0.001241644	0.001381941	0	0.016957175	1
LNM_13	0.988374059	0.004165094	0	0.004715484	4.18E-05	0	0	0.00237455	0	0	0.00032906	1
LNM_14	0.836286108	0.072324026	0	0	0.000103385	0.000596335	0.021613949	0.008243078	0.034213746	0.00207171	0.024547664	1
LNM_15	0.90284902	0.007114071	0.000154752	0.002968777	6.52E-05	0	0.010305005	0.011628637	0.064792253	4.39E-05	7.84E-05	1
LNM_16	0.895166075	0.023415599	0	0	2.93E-05	0.000602935	0.011328309	0.005557107	0.05186816	6.68E-05	0.011965715	1
LNM_17	0.993159016	0.001837257	0.000547933	0.002522012	7.12E-05	0	0.000208476	0.001575473	0	4.71E-06	7.39E-05	1
LNM_18	0.724545287	0.159734668	0	0	0	0	0.019701622	0.006111711	0.07356348	0	0.016343232	1
LNM_19	0.985293032	0.009109219	0	0	0	0	0	0.002362012	0.002925553	0.000310183	0	1
