,cell_types,Sample_ID,condition
HNSCC20_P2_F06_S162_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H09_S381_comb,CRC,oscc20,LNM_met
HNSCC20_P11_C03_S219_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F04_S352_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E09_S249_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H03_S87_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_D04_S328_comb,CRC,oscc20,LNM_met
HNSCC20_P2_A03_S99_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B10_S22_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_F01_S157_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_H02_S86_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_A06_S6_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_F10_S70_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_A08_S104_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_G09_S81_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_H06_S282_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G10_S274_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A01_S193_comb,CRC,oscc20,LNM_met
HNSCC20_P1_B02_S14_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_D06_S234_comb,CRC,oscc20,LNM_met
HNSCC20_P1_D01_S37_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_B02_S110_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_B09_S213_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H11_S95_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_G07_S79_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_E08_S344_comb,CRC,oscc20,LNM_met
HNSCC20_P2_A05_S101_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_A07_S103_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_B11_S119_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_C07_S223_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F08_S356_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G08_S272_comb,CRC,oscc20,LNM_met
HNSCC20_P11_F09_S261_comb,CRC,oscc20,LNM_met
HNSCC20_P2_C03_S123_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_D07_S139_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_B07_S307_comb,CRC,oscc20,LNM_met
HNSCC20_P1_G02_S74_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_G07_S367_comb,CRC,oscc20,LNM_met
HNSCC20_P12_H01_S373_comb,CRC,oscc20,LNM_met
HNSCC20_P1_C08_S32_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_C09_S129_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H02_S374_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E05_S53_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B09_S21_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_B08_S212_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F05_S353_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G05_S269_comb,CRC,oscc20,LNM_met
HNSCC20_P1_G12_S84_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B01_S13_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_D08_S44_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_E03_S243_comb,CRC,oscc20,LNM_met
HNSCC20_P1_A05_S5_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H10_S382_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E07_S247_comb,CRC,oscc20,LNM_met
HNSCC20_P12_E12_S348_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H06_S90_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B06_S18_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_G01_S361_comb,CRC,oscc20,LNM_met
HNSCC20_P11_B01_S205_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E08_S56_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_B09_S309_comb,CRC,oscc20,LNM_met
HNSCC20_P11_D08_S236_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A06_S198_comb,CRC,oscc20,LNM_met
HNSCC20_P2_A02_S98_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_B01_S109_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B04_S16_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_C11_S35_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_D02_S230_comb,CRC,oscc20,LNM_met
HNSCC20_P12_C12_S324_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E04_S244_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H10_S94_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_G12_S372_comb,CRC,oscc20,LNM_met
HNSCC20_P2_C05_S125_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_C06_S222_comb,CRC,oscc20,LNM_met
HNSCC20_P11_D11_S239_comb,CRC,oscc20,LNM_met
HNSCC20_P2_H10_S190_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_G01_S73_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_D06_S330_comb,CRC,oscc20,LNM_met
HNSCC20_P12_A11_S299_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H01_S85_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_A04_S4_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F05_S257_comb,CRC,oscc20,LNM_met
HNSCC20_P2_B07_S115_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_H02_S278_comb,CRC,oscc20,LNM_met
HNSCC20_P1_A11_S11_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_A12_S300_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E11_S251_comb,CRC,oscc20,LNM_met
HNSCC20_P1_D09_S45_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B05_S17_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_E01_S241_comb,CRC,oscc20,LNM_met
HNSCC20_P1_D10_S46_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_G08_S80_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_C03_S27_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_C07_S127_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_G01_S169_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_E06_S246_comb,CRC,oscc20,LNM_met
HNSCC20_P12_C05_S317_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E04_S52_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_H09_S189_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_F09_S69_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_D11_S47_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_H08_S188_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_A08_S296_comb,CRC,oscc20,LNM_met
HNSCC20_P2_G04_S172_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F08_S260_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F10_S358_comb,CRC,oscc20,LNM_met
HNSCC20_P2_F04_S160_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F06_S258_comb,CRC,oscc20,LNM_met
HNSCC20_P2_C12_S132_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_G06_S78_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_B06_S306_comb,CRC,oscc20,LNM_met
HNSCC20_P12_H07_S379_comb,CRC,oscc20,LNM_met
HNSCC20_P2_A10_S106_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H03_S375_comb,CRC,oscc20,LNM_met
HNSCC20_P2_F05_S161_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_E05_S149_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F04_S256_comb,CRC,oscc20,LNM_met
HNSCC20_P2_E12_S156_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_B02_S302_comb,CRC,oscc20,LNM_met
HNSCC20_P12_A04_S292_comb,CRC,oscc20,LNM_met
HNSCC20_P12_A09_S297_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A10_S202_comb,CRC,oscc20,LNM_met
HNSCC20_P11_B04_S208_comb,CRC,oscc20,LNM_met
HNSCC20_P12_G04_S364_comb,CRC,oscc20,LNM_met
HNSCC20_P2_B10_S118_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H04_S376_comb,CRC,oscc20,LNM_met
HNSCC20_P12_B08_S308_comb,CRC,oscc20,LNM_met
HNSCC20_P1_C02_S26_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_E12_S60_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F07_S259_comb,CRC,oscc20,LNM_met
HNSCC20_P11_F11_S263_comb,CRC,oscc20,LNM_met
HNSCC20_P11_B12_S216_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A11_S203_comb,CRC,oscc20,LNM_met
HNSCC20_P2_F09_S165_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_B12_S24_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_A01_S97_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_C10_S322_comb,CRC,oscc20,LNM_met
HNSCC20_P1_C07_S31_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_B12_S120_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_B10_S214_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E03_S51_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_D03_S135_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_G06_S270_comb,CRC,oscc20,LNM_met
HNSCC20_P12_A07_S295_comb,CRC,oscc20,LNM_met
HNSCC20_P2_G11_S179_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_E09_S345_comb,CRC,oscc20,LNM_met
HNSCC20_P1_A07_S7_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_F03_S63_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_A06_S294_comb,CRC,oscc20,LNM_met
HNSCC20_P11_C08_S224_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A08_S200_comb,CRC,oscc20,LNM_met
HNSCC20_P12_C04_S316_comb,CRC,oscc20,LNM_met
HNSCC20_P12_E01_S337_comb,CRC,oscc20,LNM_met
HNSCC20_P2_B04_S112_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_E09_S57_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_B09_S117_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_A08_S8_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_D02_S134_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_F03_S255_comb,CRC,oscc20,LNM_met
HNSCC20_P11_C10_S226_comb,CRC,oscc20,LNM_met
HNSCC20_P12_A02_S290_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E06_S54_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_C02_S314_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E05_S245_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F09_S357_comb,CRC,oscc20,LNM_met
HNSCC20_P12_B11_S311_comb,CRC,oscc20,LNM_met
HNSCC20_P12_B12_S312_comb,CRC,oscc20,LNM_met
HNSCC20_P11_E08_S248_comb,CRC,oscc20,LNM_met
HNSCC20_P11_H03_S279_comb,CRC,oscc20,LNM_met
HNSCC20_P12_G09_S369_comb,CRC,oscc20,LNM_met
HNSCC20_P2_F12_S168_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_C12_S228_comb,CRC,oscc20,LNM_met
HNSCC20_P11_H09_S285_comb,CRC,oscc20,LNM_met
HNSCC20_P12_G03_S363_comb,CRC,oscc20,LNM_met
HNSCC20_P12_F03_S351_comb,CRC,oscc20,LNM_met
HNSCC20_P2_D05_S137_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_E11_S155_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_F11_S71_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_F12_S360_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G07_S271_comb,CRC,oscc20,LNM_met
HNSCC20_P1_B03_S15_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_A02_S2_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_H01_S181_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_D08_S140_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_C11_S323_comb,CRC,oscc20,LNM_met
HNSCC20_P1_B07_S19_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_H09_S93_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_H01_S277_comb,CRC,oscc20,LNM_met
HNSCC20_P2_C11_S131_comb,CRC,oscc20,LNM_pri
HNSCC20_P11_E12_S252_comb,CRC,oscc20,LNM_met
HNSCC20_P12_G08_S368_comb,CRC,oscc20,LNM_met
HNSCC20_P12_D02_S326_comb,CRC,oscc20,LNM_met
HNSCC20_P12_C03_S315_comb,CRC,oscc20,LNM_met
HNSCC20_P11_B02_S206_comb,CRC,oscc20,LNM_met
HNSCC20_P11_A07_S199_comb,CRC,oscc20,LNM_met
HNSCC20_P12_H06_S378_comb,CRC,oscc20,LNM_met
HNSCC20_P1_E07_S55_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_E04_S148_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_D06_S138_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_C09_S321_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G02_S266_comb,CRC,oscc20,LNM_met
HNSCC20_P1_G04_S76_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_H12_S384_comb,CRC,oscc20,LNM_met
HNSCC20_P12_C07_S319_comb,CRC,oscc20,LNM_met
HNSCC20_P11_G01_S265_comb,CRC,oscc20,LNM_met
HNSCC20_P12_D07_S331_comb,CRC,oscc20,LNM_met
HNSCC20_P12_D10_S334_comb,CRC,oscc20,LNM_met
HNSCC20_P1_H12_S96_comb,CRC,oscc20,LNM_pri
HNSCC20_P2_A06_S102_comb,CRC,oscc20,LNM_pri
HNSCC20_P1_C01_S25_comb,CRC,oscc20,LNM_pri
HNSCC20_P12_F07_S355_comb,CRC,oscc20,LNM_met
HNSCC20_P12_H08_S380_comb,CRC,oscc20,LNM_met
HNSCC20_P1_C06_S30_comb,CRC,oscc20,LNM_pri
HNSCC18_P2_A04_S100_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_H05_S185_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D04_S328_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D05_S329_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_E11_S347_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_A11_S107_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_B10_S310_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_H08_S380_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_G12_S180_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_E11_S155_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_E11_S155_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_A08_S296_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_H11_S191_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D01_S325_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_H12_S384_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D03_S327_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_A03_S99_comb,CRC,oscc18,LNM_pri
HNSCC18_P13_G04_S364_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_H01_S373_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_C02_S122_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_F04_S160_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_D04_S136_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_H10_S190_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_C06_S126_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_C12_S324_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_B06_S306_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_B01_S301_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_H02_S374_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_C11_S131_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_H10_S190_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_G05_S173_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D10_S334_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_G07_S175_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_F08_S356_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_E06_S150_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_C05_S125_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_A05_S101_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_E12_S156_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_E01_S145_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_E05_S149_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_B08_S116_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_C12_S132_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_E12_S348_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F02_S158_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_E02_S338_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F03_S159_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F10_S166_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_E09_S153_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_G02_S362_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_F10_S358_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_C07_S127_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_B11_S119_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_H05_S377_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_A09_S105_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_G07_S367_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_D11_S335_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_D11_S143_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_E10_S154_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_B04_S112_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_C11_S323_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_E08_S344_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F06_S162_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_D11_S143_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_B05_S113_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_D01_S133_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F01_S157_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_A12_S108_comb,CRC,oscc18,LNM_pri
HNSCC18_P3_E04_S340_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_A07_S103_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_F11_S167_comb,CRC,oscc18,LNM_pri
HNSCC18_P7_E07_S151_comb,CRC,oscc18,LNM_pri
HNSCC18_P2_B07_S115_comb,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E01,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_A03,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_D06,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_F05,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_A05,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_H08,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_F07,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B10,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B03,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_C11,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_H09,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_G01,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_G06,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B01,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_H07,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_H05,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_C04,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E11,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_D09,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B06,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E09,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_D01,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_A01,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E08,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E04,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_G02,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_F04,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_E02,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_G07,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B07,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_B09,CRC,oscc18,LNM_pri
HNSCC18_P1_P9_HNSCC18_P1_P9_A04,CRC,oscc18,LNM_pri
HNSCC6_p16_HNSCC6_P16_H05,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A09,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_E01,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_G03,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A07,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_F06,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_B03,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A06,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_B06,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_G11,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_D07,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_D12,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A08,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_C02,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_B04,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_C04,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_H07,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A12,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_F05,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_G10,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_F09,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_B02,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_D05,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_G06,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_E04,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_H11,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_H10,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A03,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_F01,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_C01,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_H03,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_B01,CRC,oscc6,LNM_pri
HNSCC6_p16_HNSCC6_P16_A11,CRC,oscc6,LNM_pri
HNSCC10_p1_HNSCC10_P1_D12,CRC,oscc10,LNM_pri
HNSCC13_p1_HNSCC13_P1_B12,CRC,oscc13,LNM_pri
HNSCC13_p1_HNSCC13_P1_G05,CRC,oscc13,LNM_pri
HNSCC13_p1_HNSCC13_P1_A10,CRC,oscc13,LNM_pri
HNSCC13_p1_HNSCC13_P1_G11,CRC,oscc13,LNM_pri
HNSCC13_p1_HNSCC13_P1_D11,CRC,oscc13,LNM_pri
HNSCC13_p1_HNSCC13_P1_B02,CRC,oscc13,LNM_pri
HNSCC13_p19_HNSCC13_P19_E06,CRC,oscc13,LNM_pri
HNSCC5_p3_HNSCC5_P3_E03,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_D10,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_F07,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_H01,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_C11,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_G07,CRC,oscc5,LNM_pri
HNSCC5_p3_HNSCC5_P3_A04,CRC,oscc5,LNM_pri
HNSCC7_p8_HNSCC7_P8_D05,CRC,oscc7,LNM_pri
HNSCC7_p8_HNSCC7_P8_E01,CRC,oscc7,LNM_pri
HNSCC7_p8_HNSCC7_P8_G01,CRC,oscc7,LNM_pri
HNSCC7_p8_HNSCC7_P8_B05,CRC,oscc7,LNM_pri
HNSCC7_p8_HNSCC7_P8_B06,CRC,oscc7,LNM_pri
HNSCC7_p8_HNSCC7_P8_A09,CRC,oscc7,LNM_pri
HNSCC6_p14_hnscc6_p14_G04,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_F08,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E07,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E11,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_G08,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_H11,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_G12,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E02,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_H06,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E05,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_H10,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_H03,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E04,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_G01,CRC,oscc6,LNM_pri
HNSCC6_p14_hnscc6_p14_E06,CRC,oscc6,LNM_pri
