,cell_types,Sample_ID,condition
HNSCC22_P4_E03_S51_comb,CRC,oscc22,N0_pri
HNSCC22_P4_E10_S58_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F07_S67_comb,CRC,oscc22,N0_pri
HNSCC22_P4_G02_S74_comb,CRC,oscc22,N0_pri
HNSCC22_P2_pri_B09_S213_comb,CRC,oscc22,N0_pri
HNSCC22_P4_H08_S92_comb,CRC,oscc22,N0_pri
HNSCC22_P4_E11_S59_comb,CRC,oscc22,N0_pri
HNSCC22_P4_C03_S27_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F09_S69_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F06_S66_comb,CRC,oscc22,N0_pri
HNSCC22_P4_E09_S57_comb,CRC,oscc22,N0_pri
HNSCC22_P4_D09_S45_comb,CRC,oscc22,N0_pri
HNSCC22_P4_B12_S24_comb,CRC,oscc22,N0_pri
HNSCC22_P4_A11_S11_comb,CRC,oscc22,N0_pri
HNSCC22_P4_D08_S44_comb,CRC,oscc22,N0_pri
HNSCC22_P4_E02_S50_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F01_S61_comb,CRC,oscc22,N0_pri
HNSCC22_P4_D11_S47_comb,CRC,oscc22,N0_pri
HNSCC22_P4_C09_S33_comb,CRC,oscc22,N0_pri
HNSCC22_P4_C07_S31_comb,CRC,oscc22,N0_pri
HNSCC22_P4_H04_S88_comb,CRC,oscc22,N0_pri
HNSCC22_P4_G05_S77_comb,CRC,oscc22,N0_pri
HNSCC22_P4_A03_S3_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F02_S62_comb,CRC,oscc22,N0_pri
HNSCC22_P4_F10_S70_comb,CRC,oscc22,N0_pri
HNSCC22_P4_B01_S13_comb,CRC,oscc22,N0_pri
HNSCC17_P3_D01_S229_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C01_S25_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D04_S232_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E03_S243_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B08_S212_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D01_S37_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A05_S5_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G07_S79_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F08_S68_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E03_S51_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C06_S30_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C09_S33_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A12_S204_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A04_S4_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C07_S31_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C04_S220_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B07_S211_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D03_S231_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C01_S217_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B03_S15_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C11_S227_comb,CRC,oscc17,N0_pri
HNSCC17_P7_H01_S181_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E12_S252_comb,CRC,oscc17,N0_pri
