	B cell	CAF	CRC	DC	EC	MAF	MSC	Mac	Mst	Myo	T cell
48	POU2AF1	LAMA4	WDR66	TBC1D4	TIE1	TIMP3	RPS9	UCP2	CD63	MYF6	LOC284950
49	RAB30	COL5A2	KLF5	MARCKSL1	JAM2	FLNA	GPM6B	TBXAS1	LAT2	CA3	GPR82
50	RPL36AL	TCF4	SLC7A8	PELI1	A2M	MTRNR2L3	PMP22	GRN	FOXP1	SGCA	JAK3
51	RGS1	MGP	RBP1	PLEK	COL15A1	MTRNR2L4	NFIC	FERMT3	SIGLEC17P	RAMP1	ARGFX
52	RPN2	IFITM2	TFAP2C	LIMCH1	GIMAP4	ADAMTS4	RPS3A	MFSD1	CD44	IP6K3	ZBTB8A
53	CECR1	MFAP4	CHRM3	HLA-DPB1	LDB2	ZBTB16	ZFAND5	HCLS1	NFKBIA	ADCK3	FAM227A
54	THEMIS2	IGFBP7	STON2	IRF4	EMCN	COL14A1	RPS12	LCP1	ACSL4	MUSTN1	SLC4A8
55	CD38	OLFML3	ITGA6	HLA-DPA1	GIMAP7	CDKN1A	BTG2	SAT1	NFKBIZ	DDIT4L	SERPINB9
56	CTSS	VIM	KRT8	CDKN1A	DOCK9	TPT1	EEF2	CD4	AKAP13	TPT1	CABP4
57	PECAM1	DPYSL2	LYPD3	HLA-DRB5	CRIM1	LPP	SNED1	CSF2RA	GALC	ENO3	NLRP12
58	PIK3CG	TWIST1	DHCR24	VOPP1	CNN3	PTP4A3	IER3	PSAP	NSMCE1	RBM24	NMNAT1
59	TRAM1	A2M	CD9	TBC1D8	GPR116	FHL5	CTGF	PILRA	BTK	RYR1	GNE
60	TAGAP	PDGFRA	CSTB	MALAT1	AKAP2	HEYL	SERPING1	TNFSF13	CPM	MURC	FYB
61	NCF1	FOS	CBR1	CFLAR	VAMP5	RPL10	DOCK9	CD83	CTSD	LMO7	ORAI2
62	INSR	PRELP	BCL11A	PMAIP1	IFITM2	ITGA7	RARRES2	CXCL16	TNFAIP3	PRUNE2	PDDC1
63	LMAN1	IGFBP5	TPI1	TXN	PLXND1	CRIP2	CADM2	NCF2	BIRC3	SERPINF1	LOC90834
64	TMEM59	TIMP2	FSCN1	SYNGR2	ELK3	EEF1A1	ELL2	MRC1	TMEM176B	AK1	PDE4C
65	HSPA5	RCN3	NME1	ANKRD10	LIMS2	EGR1	RPL41	ALOX5	SYTL3	CHRNB1	IL17RD
66	SPAG4	VCAN	ESRP1	HLA-DQB1	HLA-DRB5	SOD3	TPCN1	LILRB2	SIGLEC6	DMPK	BCL2L15
67	GLRX	CYBRD1	KRT16	C6orf62	EPAS1	CLMN	RPL9	LILRB1	FOSB	MEF2C	C14orf23
68	CD27	ANGPTL2	TM4SF1	PFN1	COL4A2	KANK2	JUN	FGL2	FTH1	MYBPC2	TNFAIP8L1
69	SSR3	SFRP2	TFAP2A	CELF2	HLA-DRB1	MTRNR2L7	JUNB	FCGR3A	FMNL3	TCEA3	CORO1A
70	LY9	NUPR1	TXN	TRAFD1	SPARC	PTEN	DLG5	LILRB4	IL18R1	TRIM54	LOC728558
71	SYVN1	CFH	LGALS7	UVRAG	ROBO4	ZFP36	RPL29	C1QA	NR4A2	LMOD3	SCAI
72	CD74	COL5A1	ATP1B3	NUB1	FLI1	IGFBP5	ZBTB16	C1QC	SDCBP	HAR1A	ZFP14
73	UBE2J1	COL12A1	HN1	ANTXR2	DPYSL2	PDGFA	ANKRD10	GPR183	ELL2	FABP3	LRTOMT
74	TRIB1	TSC22D1	MAGEA4	COTL1	VIM	EIF1	MEGF10	CST3	AKAP2	CHRNA1	VSIG1
75	CPNE5	ANXA5	COL7A1	MGLL	SDPR	TENC1	ABCA8	ARRB2	GPR65	HSPB3	GREB1
76	FBXW7	PTEN	MIF	DOCK10	HLA-E	TSC22D1	RPL14	CTSB	ASAH1	CAP2	PIP4K2A
77	HSH2D	CALU	ATP5G3	CD200	TGFBR2	SELM	TIMP1	LGALS9	SLC45A3	BLCAP	CYP4V2
78	NCF1C	FBN1	TXNDC17	DUSP1	LDLRAD2	PPP1R15A	UBC	CD163	CD83	RRAD	NLRC3
79	HM13	FBLN2	ATP1B1	ANXA6	RAI14	MRVI1	PXDN	C1QB	SH3BGRL3	PTP4A3	ICA1L
80	PDE4B	CXCL12	FAM213A	CD55	TEK	THBS1	GLUL	GRB2	CD52	DMD	SLA
81	LOC283710	CST3	CCT5	N4BP2L1	SRP14	SPARC	DUSP1	CYTH4	HLA-E	ABLIM2	DUSP4
82	RAPGEF1	SPARCL1	RAN	ADAM19	ENTPD1	SORBS2	SAT1	RASSF4	NR4A1	ITGA7	TMEM213
83	DNAJC3	ASPN	THOC3	NFKBIA	RELL1	FOS	BTF3	MS4A4A	RHOH	SLC7A11-AS1	SLFNL1-AS1
84	SEC24A	GEM	FABP5	KYNU	MTUS1	PPP1R12B	TUBB2B	FCGRT	LAT	SPTB	MAP1LC3C
85	CXCR4	FMOD	LGALS7B	RAP2B	ELMO1	JUN	RPS13	BCL2A1	IFITM2	CASQ2	TMEM66
86	FAM49A	IFITM1	LOC440173	AKAP2	NEDD9	EHD2	RAPSN	TPP1	AHR	S100A1	CD53
87	PDIA6	LRP1	SPINT1	RUFY3	CARD8	CSRP1	FN1	RNF130	CD84	PPP1R27	SAMSN1
88	SLC17A9	TFPI	DSG2	IDO1	PDLIM1	NRIP2	RPL15	ATP6V1B2	S100A4	UNC45B	CEACAM22P
89	COPE	MFGE8	ENO1	SH3KBP1	FLT1	RPL3	COL6A2	RAB31	ZEB2	STAC3	PPM1K
90	CPEB4	MAP1B	VSNL1	PTPN1	TGM2	RPS4X	FGFR4	LCP2	LOC284454	NDP	PCED1B-AS1
91	SEC14L1	COL14A1	S100A10	JAK1	IFITM3	SERPING1	GADD45B	COTL1	P2RX1	KLHL30	SLC24A4
92	SPCS1	GGT5	LINC00649	IRF8	SPARCL1	FOSB	RPS23	FCGR2C	HAVCR2	FXYD1	KBTBD12
93	SEC61A1	GADD45B	CSTA	DPYSL2	RPS6KA2	FRZB	RPL11	CYBA	CSF1	LIMCH1	CA5B
94	UBC	S100A4	TMTC3	FOXP1	TFPI	RPL9	RPL5	OLR1	NDST2	EEF2	CD52
95	MALAT1	PRKCDBP	TKT	PAN3	COL4A1	MAP1B	CLU	CECR1	PAG1	APOBEC2	DAND5
96	ICAM2	TIMP3	ANXA8L1	TMSB4X	PRSS23	EDNRA	IP6K3	TLR2	CDK15	PADI2	L1TD1
97	RRBP1	DIO2	TNS4	HCK	SPRY1	GSN	MT1M	SRGN	MLPH	MLIP	CYTIP
98	RNF122	ARID5B	SNRPE	GLS	DARC	HSPB8	FOXO3	MSR1	LAX1	PGAM2	AKAP5
99	KLHL6	CD248	KRT6B	STARD7	SCARF1	MOCS1	IFITM2	PPT1	RIN3	TBX15	AGMAT
