Network,Annotation
LN_meta,R-HSA-9675108|Nervous system development|-30.6;R-HSA-72689|Formation of a pool of free 40S subunits|-30.1;R-HSA-422475|Axon guidance|-28.8
N0,R-HSA-1280215|Cytokine Signaling in Immune system|-35.9;R-HSA-1280218|Adaptive Immune System|-34.5;R-HSA-449147|Signaling by Interleukins|-26.2
